"Sample" "Detector" "Cq"
"1001S2a" "ACTB_RQ" 0.000130373752011663
"1001S2a" "B2M_RQ" 4.07930344075771e-06
"1001S2a" "RPL29_RQ" 0.00574155494878914
"1001S2c" "ACTB_RQ" 7.28928375452069e-05
"1001S2c" "B2M_RQ" 2.43260166012346e-06
"1001S2c" "RPL29_RQ" 0.00476169297910373
"1001V10a" "ACTB_RQ" 5.14371899734401e-05
"1001V10a" "B2M_RQ" 1.02370718655155e-05
"1001V10a" "RPL29_RQ" 0.00226173212507023
"1001V10c" "ACTB_RQ" 5.95088130140373e-05
"1001V10c" "B2M_RQ" NA
"1001V10c" "RPL29_RQ" 0.00158337508210304
"1001V11a" "ACTB_RQ" 0.0816595024121073
"1001V11a" "B2M_RQ" 0.160304986480346
"1001V11a" "RPL29_RQ" 0.138306378417068
"1001V11c" "ACTB_RQ" 0.0731116012641723
"1001V11c" "B2M_RQ" 0.157944715975015
"1001V11c" "RPL29_RQ" 0.147086560368371
"1002S2a" "ACTB_RQ" 0.0552388467356258
"1002S2a" "B2M_RQ" 0.0309157181541817
"1002S2a" "RPL29_RQ" 0.0405137266191529
"1002S2c" "ACTB_RQ" 0.0177728964457154
"1002S2c" "B2M_RQ" 0.00965709600613751
"1002S2c" "RPL29_RQ" 0.0565388093078219
"1002V10a" "ACTB_RQ" 0.491850074638093
"1002V10a" "B2M_RQ" 0.477354257928225
"1002V10a" "RPL29_RQ" 0.32904164686678
"1002V10c" "ACTB_RQ" 0.0143063752187422
"1002V10c" "B2M_RQ" 0.0146651149073545
"1002V10c" "RPL29_RQ" 0.0187768011404398
"1002V12a" "ACTB_RQ" 0.0609139675540547
"1002V12a" "B2M_RQ" 0.0885438397544813
"1002V12a" "RPL29_RQ" 0.125957700028204
"1002V12c" "ACTB_RQ" 0.0787101942914244
"1002V12c" "B2M_RQ" 0.0687986976074382
"1002V12c" "RPL29_RQ" 0.112981382056456
"1003S2a" "ACTB_RQ" 0.0356985421468441
"1003S2a" "B2M_RQ" 0.0275319859626486
"1003S2a" "RPL29_RQ" 0.0808540421439347
"1003S2c" "ACTB_RQ" 0.022666018230494
"1003S2c" "B2M_RQ" 0.0160279680494735
"1003S2c" "RPL29_RQ" 0.0633234758244337
"1003V10a" "ACTB_RQ" 0.584320286380264
"1003V10a" "B2M_RQ" 0.481819592685128
"1003V10a" "RPL29_RQ" 0.428644108549947
"1003V10c" "ACTB_RQ" 0.369968036459441
"1003V10c" "B2M_RQ" 0.404031126442057
"1003V10c" "RPL29_RQ" 0.338101833971927
"1003V12a" "ACTB_RQ" 0.0236932940770873
"1003V12a" "B2M_RQ" 0.0209274042150499
"1003V12a" "RPL29_RQ" 0.034890523896732
"1003V12c" "ACTB_RQ" 0.270399146925766
"1003V12c" "B2M_RQ" 0.470742594082817
"1003V12c" "RPL29_RQ" 0.408795487026458
"1003V13a" "ACTB_RQ" 0.246062120141004
"1003V13a" "B2M_RQ" 0.202843866796928
"1003V13a" "RPL29_RQ" 0.286497793205339
"1003V13c" "ACTB_RQ" 0.0816354418969936
"1003V13c" "B2M_RQ" 0.1561939135023
"1003V13c" "RPL29_RQ" 0.178681005619389
"1004S2a" "ACTB_RQ" 0.00583975035036294
"1004S2a" "B2M_RQ" 0.00547271739976424
"1004S2a" "RPL29_RQ" 0.0177805019314002
"1004S2c" "ACTB_RQ" 0.0399389095708779
"1004S2c" "B2M_RQ" 0.0145542362109441
"1004S2c" "RPL29_RQ" 0.12645112014771
"1004V10a" "ACTB_RQ" 0.1056242472174
"1004V10a" "B2M_RQ" 0.141755863182953
"1004V10a" "RPL29_RQ" 0.145721724947073
"1004V10c" "ACTB_RQ" 0.525359932922225
"1004V10c" "B2M_RQ" 0.355341583541599
"1004V10c" "RPL29_RQ" 0.451399638818301
"1004V12a" "ACTB_RQ" 0.0539955302436779
"1004V12a" "B2M_RQ" 0.0644016815756045
"1004V12a" "RPL29_RQ" 0.130322777008221
"1004V12c" "ACTB_RQ" 0.0401945068873712
"1004V12c" "B2M_RQ" 0.03988512683279
"1004V12c" "RPL29_RQ" 0.13498832338082
"1004V13a" "ACTB_RQ" 0.10235812981035
"1004V13a" "B2M_RQ" 0.129965230728312
"1004V13a" "RPL29_RQ" 0.205021074384308
"1004V13c" "ACTB_RQ" 0.0671370564780194
"1004V13c" "B2M_RQ" 0.0675272483992665
"1004V13c" "RPL29_RQ" 0.231848757038164
"1005S2a" "ACTB_RQ" 0.0120622604328157
"1005S2a" "B2M_RQ" 0.00436332920808311
"1005S2a" "RPL29_RQ" 0.0309895521321954
"1005S2c" "ACTB_RQ" 0.00174812018783517
"1005S2c" "B2M_RQ" 0.000594717823920463
"1005S2c" "RPL29_RQ" 0.0209820087550584
"1005V10a" "ACTB_RQ" 0.592754757331196
"1005V10a" "B2M_RQ" 0.170649688181533
"1005V10a" "RPL29_RQ" 0.245711160588115
"1005V10c" "ACTB_RQ" 0.131735325640172
"1005V10c" "B2M_RQ" 0.0788166045485036
"1005V10c" "RPL29_RQ" 0.0779708626099975
"1005V11a" "ACTB_RQ" 0.12247254146878
"1005V11a" "B2M_RQ" 0.177354611461536
"1005V11a" "RPL29_RQ" 0.192948524497662
"1005V11c" "ACTB_RQ" 0.0951917865250736
"1005V11c" "B2M_RQ" 0.149754914469557
"1005V11c" "RPL29_RQ" 0.10849299727811
"1006S2a" "ACTB_RQ" 0.0319855140647312
"1006S2a" "B2M_RQ" 0.0433235857300487
"1006S2a" "RPL29_RQ" 0.103351345947698
"1006S2c" "ACTB_RQ" 0.0157410607014842
"1006S2c" "B2M_RQ" 0.0160162841955917
"1006S2c" "RPL29_RQ" 0.0936527591889552
"1006V10a" "ACTB_RQ" 0.481350398554526
"1006V10a" "B2M_RQ" 0.474916893903442
"1006V10a" "RPL29_RQ" 0.224113659969892
"1006V10c" "ACTB_RQ" 0.179679182958894
"1006V10c" "B2M_RQ" 0.233871125941148
"1006V10c" "RPL29_RQ" 0.205952635894169
"1006V12a" "ACTB_RQ" 0.0129932096043087
"1006V12a" "B2M_RQ" 0.00851778008787124
"1006V12a" "RPL29_RQ" 0.0181500524703802
"1006V12c" "ACTB_RQ" 0.014399567765421
"1006V12c" "B2M_RQ" 0.0206798079481168
"1006V12c" "RPL29_RQ" 0.0307611879415341
"1006V13a" "ACTB_RQ" 0.103981917457366
"1006V13a" "B2M_RQ" 0.15834045141264
"1006V13a" "RPL29_RQ" 0.157789769509478
"1006V13c" "ACTB_RQ" 0.0755451009713329
"1006V13c" "B2M_RQ" 0.141883513433602
"1006V13c" "RPL29_RQ" 0.163287497580532
"1007S2a" "ACTB_RQ" 0.000145978744297255
"1007S2a" "B2M_RQ" 1.27434194827788e-05
"1007S2a" "RPL29_RQ" 0.00878240692449377
"1007S2c" "ACTB_RQ" 0.000120997475894226
"1007S2c" "B2M_RQ" 8.69003866544351e-06
"1007S2c" "RPL29_RQ" 0.00430739392157269
"1007V10a" "ACTB_RQ" 4.43734615383603e-05
"1007V10a" "B2M_RQ" NA
"1007V10a" "RPL29_RQ" 0.00187093399630513
"1007V10c" "ACTB_RQ" 6.86351515332831e-05
"1007V10c" "B2M_RQ" 7.9655970326785e-06
"1007V10c" "RPL29_RQ" 0.00239341900006114
"1007V11a" "ACTB_RQ" 8.0523283592493e-05
"1007V11a" "B2M_RQ" 1.04031321746653e-05
"1007V11a" "RPL29_RQ" 0.00495840409620415
"1007V11c" "ACTB_RQ" 7.00448715447404e-05
"1007V11c" "B2M_RQ" NA
"1007V11c" "RPL29_RQ" 0.00161158756772809
"1008S2a" "ACTB_RQ" 0.0128880592780239
"1008S2a" "B2M_RQ" 0.0113210169065289
"1008S2a" "RPL29_RQ" 0.0700007037900388
"1008S2c" "ACTB_RQ" 0.00675252436750779
"1008S2c" "B2M_RQ" 0.0117717153730635
"1008S2c" "RPL29_RQ" 0.0434168882703392
"1008V10a" "ACTB_RQ" 3.74481334634427e-05
"1008V10a" "B2M_RQ" 3.95381585171617e-06
"1008V10a" "RPL29_RQ" 0.00269681581880622
"1008V10c" "ACTB_RQ" 2.41609844341444e-05
"1008V10c" "B2M_RQ" NA
"1008V10c" "RPL29_RQ" 0.00220963767361374
"1008V12a" "ACTB_RQ" 8.93836887103277e-05
"1008V12a" "B2M_RQ" NA
"1008V12a" "RPL29_RQ" 0.0046199533099976
"1008V12c" "ACTB_RQ" 2.87032417633343e-05
"1008V12c" "B2M_RQ" 6.62169474261575e-06
"1008V12c" "RPL29_RQ" 0.00171653493569744
"1010S2a" "ACTB_RQ" 0.0568397183348886
"1010S2a" "B2M_RQ" 0.0651696414003182
"1010S2a" "RPL29_RQ" 0.254155240982441
"1010S2c" "ACTB_RQ" 0.0653486576888496
"1010S2c" "B2M_RQ" 0.0677959337671697
"1010S2c" "RPL29_RQ" 0.228528841123671
"1010V10a" "ACTB_RQ" 0.262641665086602
"1010V10a" "B2M_RQ" 0.344714478890123
"1010V10a" "RPL29_RQ" 0.351079822825489
"1010V10c" "ACTB_RQ" 0.104702253534624
"1010V10c" "B2M_RQ" 0.277355677663739
"1010V10c" "RPL29_RQ" 0.308005891563276
"1010V12a" "ACTB_RQ" 0.045391199931117
"1010V12a" "B2M_RQ" 0.0276312016439654
"1010V12a" "RPL29_RQ" 0.118056820762327
"1010V12c" "ACTB_RQ" 0.315711927329732
"1010V12c" "B2M_RQ" 0.203646340917284
"1010V12c" "RPL29_RQ" 0.564375587900959
"1010V13a" "ACTB_RQ" 0.256441754810416
"1010V13a" "B2M_RQ" 0.278657307394205
"1010V13a" "RPL29_RQ" 0.439470023149197
"1010V13c" "ACTB_RQ" 0.0931426655335037
"1010V13c" "B2M_RQ" 0.0617005266526561
"1010V13c" "RPL29_RQ" 0.283032434439128
"1013S2a" "ACTB_RQ" 0.293044936737982
"1013S2a" "B2M_RQ" 0.0874667863373415
"1013S2a" "RPL29_RQ" 0.395963621819781
"1013S2c" "ACTB_RQ" 0.0593154051521874
"1013S2c" "B2M_RQ" 0.0281865988967485
"1013S2c" "RPL29_RQ" 0.215546696687103
"1013V10a" "ACTB_RQ" 0.231893511673419
"1013V10a" "B2M_RQ" 0.353322494812885
"1013V10a" "RPL29_RQ" 0.311660807985858
"1013V10c" "ACTB_RQ" 0.0560754734400499
"1013V10c" "B2M_RQ" 0.0914482641177052
"1013V10c" "RPL29_RQ" 0.124782975582467
"1013V11a" "ACTB_RQ" 0.289092600293219
"1013V11a" "B2M_RQ" 0.18105156242563
"1013V11a" "RPL29_RQ" 0.316560293805911
"1013V11c" "ACTB_RQ" 0.174113164915518
"1013V11c" "B2M_RQ" 0.109499081325429
"1013V11c" "RPL29_RQ" 0.297825415141593
"1014S2a" "ACTB_RQ" 0.176511367104777
"1014S2a" "B2M_RQ" 0.052733229748081
"1014S2a" "RPL29_RQ" 0.170477105460359
"1014S2c" "ACTB_RQ" 0.0284184396280797
"1014S2c" "B2M_RQ" 0.0172618301906712
"1014S2c" "RPL29_RQ" 0.106215779732774
"1014V10a" "ACTB_RQ" 0.11582243642998
"1014V10a" "B2M_RQ" 0.124966122855501
